"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-ND51",4.00728688724169e-143,0.579058050948674,0.742,0.534,7.58098533328384e-139,"10","MT-ND5"
"NGFRAP13",9.91439780903958e-142,0.539744394187197,0.578,0.35,1.87560577751411e-137,"10","NGFRAP1"
"LAPTM4B1",2.62046731558343e-138,0.294960421096098,0.281,0.106,4.95740006762073e-134,"10","LAPTM4B"
"H3F3A2",8.34464600912162e-135,0.526335616646802,0.796,0.646,1.57864013200563e-130,"10","H3F3A"
"NDFIP11",1.15988103592911e-133,0.425964866857707,0.406,0.2,2.19426294377068e-129,"10","NDFIP1"
"IVNS1ABP",4.76121784737203e-130,0.341111776364215,0.318,0.135,9.0072719236584e-126,"10","IVNS1ABP"
"SYNE21",5.14805468414461e-126,0.327199636040277,0.339,0.149,9.73908985146477e-122,"10","SYNE2"
"STMN11",2.51317387848033e-122,0.506051478471387,0.694,0.496,4.75442234330908e-118,"10","STMN1"
"IFI273",5.65802903054618e-119,0.416998641391176,0.68,0.408,1.07038593199873e-114,"10","IFI27"
"H1F01",3.56581883145527e-113,0.310758126219785,0.261,0.105,6.74581606534709e-109,"10","H1F0"
"MT-ND4L1",1.08437918240594e-105,0.488661918987428,0.434,0.249,2.05142853727556e-101,"10","MT-ND4L"
"RPS191",8.71364102367154e-103,0.372828589043492,1,0.993,1.64844660885818e-98,"10","RPS19"
"DDX17",4.22283067357343e-93,0.31834917512842,0.341,0.175,7.98875106826622e-89,"10","DDX17"
"SEPP13",1.29062702181416e-92,0.707657668045554,0.612,0.462,2.44160819986803e-88,"10","SEPP1"
"CD991",4.23647992424273e-91,0.440174790036619,0.513,0.336,8.01457272068241e-87,"10","CD99"
"FLNA1",1.18591674423264e-85,0.270276538402873,0.256,0.117,2.2435172967393e-81,"10","FLNA"
"UQCRQ1",3.70367250296331e-72,0.291099002713878,0.387,0.226,7.00660764110598e-68,"10","UQCRQ"
"ACTG12",4.97570281516574e-72,0.335114312084685,0.934,0.839,9.41303458573055e-68,"10","ACTG1"
"FHL22",5.9316848532299e-72,0.382510332415805,0.561,0.39,1.12215614053403e-67,"10","FHL2"
"INSR",9.41338373374164e-69,0.296435446737351,0.303,0.162,1.78082393474924e-64,"10","INSR"
"THBS1",9.77179882477601e-65,0.285962587201598,0.309,0.17,1.84862890167113e-60,"10","THBS1"
"COX5B1",8.06626835274766e-61,0.28984359154899,0.405,0.259,1.5259766469728e-56,"10","COX5B"
"ITGB12",7.75719544201159e-58,0.344499716647729,0.48,0.34,1.46750623371975e-53,"10","ITGB1"
"ATP5I1",1.52126122640013e-57,0.28426288045259,0.393,0.247,2.87792198810376e-53,"10","ATP5I"
"ATP5G21",1.6548717493387e-57,0.37078832528876,0.564,0.444,3.13068637539895e-53,"10","ATP5G2"
"GSTP11",2.15022803140583e-57,0.312894607755226,0.505,0.362,4.06780138981356e-53,"10","GSTP1"
"RPL352",2.01055416060718e-56,0.280735076799975,0.97,0.926,3.80356636103667e-52,"10","RPL35"
"COX7C1",1.23431589431733e-54,0.342128056602258,0.609,0.49,2.33507880886953e-50,"10","COX7C"
"PRDX22",9.27838835830874e-54,0.277327773634914,0.416,0.278,1.75528550962485e-49,"10","PRDX2"
"HMGN11",2.69746492150258e-49,0.25875470179,0.382,0.25,5.10306413849859e-45,"10","HMGN1"
